,Overall
study_abstract,0.954760218
ik_statistics,0.953803763
ak_ophthalmology.,0.953241616
european.journal.of.ophthalmology,0.952237243
ik_war,0.933286964
ik_acid,0.931737167
ik_family,0.930987471
ik_diagnostic.imaging,0.928745057
ik_vitrectomy,0.926987542
ik_randomized.controlled.trial,0.926974673
ik_refractive.error,0.926781616
ik_surgical.technique,0.923757443
ik_united.kingdom,0.923730492
ak_ocular,0.922919186
ik_general,0.917736422
ik_animal,0.916757008
ik_complication,0.916714636
ik_blindness,0.915124723
ik_risk.factor,0.912916043
ik_organization,0.912756345
ik_head,0.905767053
ak_ophthalmology,0.905761365
ik_learning,0.903159444
ik_injury,0.901016867
ik_physical.examination,0.900507528
ak_ped,0.899865624
ik_eye.infection,0.897940759
ik_iop,0.896569047
ak_disease,0.894041227
ik_health.service,0.891826185
ak_medical,0.887623911
ik_follow.up.studies,0.886997076
ik_eye.refraction,0.88084604
ak_graph,0.878490475
ik_errors,0.876877461
ik_chromosome,0.876288323
ak_retina,0.876287021
with_abstract,0.874212544
ik_transplantation,0.86709926
ik_patient.care,0.863104194
ik_training,0.860085137
ik_tension,0.858436432
ak_optic,0.855934726
with_title,0.854285595
ik_amide,0.852183563
ak_sta,0.850582655
ik_disease.severity,0.849593472
ik_light,0.848610084
ik_patient.referral,0.844032711
ik_pathophysiology,0.842289649
ak_gla,0.836724627
ik_refractive,0.820291579
glaucoma_abstract,0.817488812
ik_personnel,0.81545748
ik_implant,0.813223657
ak_cornea,0.812065757
ik_fluorescein,0.811580638
ik_processing,0.811157955
cornea,0.80984456
ik_skin,0.809730094
ik_young.adult,0.807853672
ik_delivery,0.805359643
ik_hip,0.801955653
ik_ophthalmic,0.801527653
ik_simulation,0.800396489
ik_electron,0.800129843
ik_medical.specialist,0.79658141
ik_strabismus,0.794458144
ik_pediatrics,0.794131976
glaucoma_title,0.790775479
ophthalmology_abstract,0.774398507
ik_health.services,0.772197381
ik_lip,0.768990754
ik_retrospective.studies,0.767715308
ik_school.child,0.764660756
ik_cations,0.760754876
ik_atrophy,0.76073039
ik_ship,0.758256034
ik_diabetes.mellitus,0.757300976
study_title,0.755366628
ak_ema,0.754432986
ik_management,0.751920164
ik_hypertension,0.746912531
ik_eye.protection,0.742894323
ik_vitreous,0.742563121
ak_ivi,0.739627336
ik_lenses,0.735030007
ak_iol,0.731120044
ik_liver,0.725967138
ak_care,0.725348135
ak_ir,0.720956449
ik_conjunctiva,0.716952975
ik_angiography,0.713493817
ik_refraction.error,0.712905762
ophthalmology_title,0.711500891
ik_anterior.eye,0.710302686
ik_equipment,0.706162938
ik_ppl,0.700601626
ik_cross.sectional.study,0.696292714
ik_outcome.assessment,0.695675573
ak_image,0.693857825
ik_teaching,0.693434632
ak_education,0.690458909
ik_retinal.disease,0.679371346
ik_visual.disorder,0.677075238
ik_eye.examination,0.673230027
ik_association,0.672684072
ik_retinography,0.668644997
retina,0.668637164
ak_diabetic,0.668427511
ik_image.processing,0.667615411
ik_quality.of.life,0.665193527
ak_ver,0.655637335
ak_icr,0.654035889
ik_keratitis,0.650315333
ik_parameters,0.64388542
patient_abstract,0.643695459
ik_neovascularization,0.643317937
ik_visual.system,0.642883533
canadian.journal.of.ophthalmology,0.642284588
ik_acular,0.634255963
ik_internship.and.residency,0.630789539
clinic_title,0.626507348
ik_uveitis,0.623499032
ik_computer.assisted,0.621894787
ik_outpatient,0.621262193
ik_nonhuman,0.613914994
ik_astigmatism,0.610805016
ik_conjunctivitis,0.610521784
ik_vascularization,0.608654948
ik_polymer,0.605347954
late_title,0.605284987
ak_ox,0.603848979
ik_visual.fields,0.595182828
ik_sus,0.593344214
ik_optical.coherence.tomography,0.587898183
ik_vein,0.586824014
patient_title,0.584489019
ik_resonance,0.582645231
ik_muscle,0.578428415
ik_coherence.tomography,0.577845333
computers.in.biology.and.medicine,0.576486034
ak_fer,0.575062804
archives.of.ophthalmology,0.573807311
ik_questionnaires,0.571248985
ik_heart,0.569588802
ak_low,0.562735692
ik_kidney,0.557756697
clinic_abstract,0.556731932
ik_models,0.554450117
ik_slit.lamp,0.553433955
ik_astigmat,0.551558409
patients_title,0.546560222
ik_macular.degeneration,0.545848604
ik_human.tissue,0.543490022
ak_retinopathy,0.541265819
ik_risk.factors,0.541218966
ak_erg,0.538770017
ik_surveys,0.536341447
ik_optic.nerve.disease,0.533540652
late_abstract,0.531333911
ik_magnetic.resonance,0.53101906
ik_dna,0.526724198
ik_electroretinography,0.525440358
surgery_title,0.523611392
ik_child..preschool,0.520609107
ik_neoplasm,0.5203815
ik_satisfaction,0.518411676
ak_for,0.515796988
care_abstract,0.512043918
acta.ophthalmologica.scandinavica,0.505939074
ik_emergency,0.505453399
ik_graduate,0.500217331
ik_ophthalmologist,0.497151634
ik_leg,0.49632457
ik_prednisolone,0.495750852
port_title,0.495316639
ak_retinal,0.494581956
ik_postoperative.complication,0.494010042
ik_lens.implant,0.491157368
surgery_abstract,0.490946223
ik_epithelium,0.490244767
ak_glaucoma,0.487025317
ak_orbit,0.481998881
retinal_abstract,0.481147704
ik_eye.fundus,0.478597869
ik_protection,0.477153844
indian.journal.of.ophthalmology,0.476571793
ak_coma,0.474139266
ik_history..20th.century,0.471667553
ik_insulin,0.468578175
ik_fiber,0.454421103
ik_animals,0.447850152
journal.of.neuro.ophthalmology,0.446323123
ik_phenotype,0.445225455
journal.of.aapos,0.442529887
patients_abstract,0.442487148
ik_retrospective.study,0.442098566
ik_corticosteroid,0.436547719
ik_neoplasms,0.435797807
port_abstract,0.427086482
eye,0.426821713
care_title,0.425115404
ik_magnetic.resonance.imaging,0.422751392
ik_omics,0.422215107
ik_clinical.competence,0.419869068
ik_time.factor,0.419672292
retinal_title,0.418046777
ik_preschool.child,0.416522691
ik_tomography..optical.coherence,0.416204129
ik_pig,0.415934576
ak_health,0.413230612
ik_ward,0.413072143
ik_disease.association,0.409592869
ik_retinitis,0.409168351
ik_eye.surgery,0.408714298
ak_alt,0.406769622
ik_cohort.analysis,0.404652208
ak_tomography,0.402726101
ik_complications,0.399896498
ik_drug.administration,0.399524764
ik_pigment,0.394214746
ak_diabetic.retinopathy,0.388334586
ik_nerve.fiber,0.386122324
ak_macula,0.380551931
ik_vision.disorders,0.377687363
eye..basingstoke.,0.375466095
ak_art,0.37018169
ik_ocular.hypertension,0.369527877
ik_retinal.diseases,0.365641824
ik_fluorescein.angiography,0.357881183
ik_genetics,0.357489374
ik_eye.diseases,0.354336645
ophthalmic.epidemiology,0.352218048
ik_fluorescence,0.349229362
ik_tomography..optical,0.348799631
ik_mali,0.344462644
graefe.s.archive.for.clinical.and.experimental.ophthalmology,0.338859169
ik_implantation,0.334024594
ak_aging,0.332378613
clinical.and.experimental.ophthalmology,0.328289705
ak_child,0.3276743
ik_biopsy,0.325217937
ik_macular.edema,0.324347432
ik_labor,0.32060035
case_abstract,0.318510228
computerized.medical.imaging.and.graphics,0.316191921
international.ophthalmology,0.315602307
ak_gene,0.315043183
ik_education..medical,0.306954022
ak_cataract,0.299749736
case_title,0.297900988
retina_title,0.285684328
ak_imaging,0.285410441
ik_standards,0.280130085
clinical.ophthalmology,0.276909443
ak_optical.coherence,0.276748801
ik_nuclear.magnetic.resonance,0.276309259
jama.ophthalmology,0.274667695
ik_differential.diagnosis,0.265561902
survey.of.ophthalmology,0.259969628
retina_abstract,0.256113723
ak_medicine,0.2556684
ik_visual.system.examination,0.253631784
ik_laboratory,0.238164854
ik_multicenter.study,0.232454028
ak_syndrome,0.22522054
ik_organization.and.management,0.208782471
ik_neurology,0.204403108
ik_pigment.epithelium,0.203496098
ik_fluorescence.angiography,0.201947526
ik_urology,0.194831912
ik_lens.implantation,0.193464134
ik_headache,0.191409656
acta.ophthalmologica,0.183489399
computer.methods.and.programs.in.biomedicine,0.180362459
ak_optical.coherence.tomography,0.177077391
ik_statistics.and.numerical.data,0.174703185
ik_computer.assisted.tomography,0.171767779
ak_degeneration,0.171398662
ik_nuclear.magnetic.resonance.imaging,0.15206297
ik_very.elderly,0.132615133
journal.of.glaucoma,0.067795628
journal.of.pediatric.ophthalmology.and.strabismus,0.048181906
advances.in.therapy,0.025351275
insight...journal.of.the.american.society.of.ophthalmic.registered.nurses,0.001854878
insight..american.society.of.ophthalmic.registered.nurses.,0.001472727
bmj.case.reports,3.15E-17
